食物名,地区,可食部分,能量,水分,蛋白质,脂肪,膳食纤维,碳水化物,视黄醇当量,硫胺素(VB1),核黄素(VB2),尼克酸(烟酸VPP),维生素E,钠,钙,铁,类别,抗坏血酸(VC),类,胆固醇
地衣（水浸）,甘肃临夏,100,3,96.4,1.5,,1.8,0,37,0.02,0.28,0.5,2.24,10.7,14,21.1,34,,25,
冬菇（干，毛柄金线菌）,,86,212,13.4,17.8,1.3,32.3,32.3,5,0.17,1.4,24.4,3.47,20.4,55,10.5,34,5,25,
发菜,甘肃张掖,100,246,10.5,22.8,0.8,21.9,36.8,,0.23,,,21.7,103.3,875,99.3,34,,25,
海带（干，江白菜，昆布）,,98,77,70.5,1.8,0.1,6.1,17.3,40,0.01,0.1,0.8,0.85,327.4,348,4.7,34,,25,
海带（鲜，江白菜，昆布）,山东青岛,100,17,94.4,1.2,0.1,0.5,1.6,,0.02,0.15,1.3,1.85,8.6,46,0.9,34,,25,
海冻菜（石花菜，冻菜）,山东乳山,100,314,15.6,5.4,0.1,,72.9,,0.06,0.2,3.3,14.84,380.8,167,2,34,,25,
猴头菇（罐装）,,100,13,92.3,2,0.2,4.2,0.7,,0.01,0.04,0.2,0.46,175.2,19,2.8,34,4,25,
黄蘑,黑龙江,89,166,39.3,16.4,1.5,18.3,21.8,12,0.15,1,5.8,1.26,,11,22.5,34,,25,
金针菇（智力菇）,,100,26,90.2,2.4,0.4,2.7,3.3,5,0.15,0.19,4.1,1.14,4.3,,1.4,34,2,25,
金针菇（罐装）,浙江,100,21,91.6,1,,2.5,4.2,,0.01,0.01,0.6,0.98,238.2,14,1.1,34,,25,
口蘑（白蘑）,北京,100,242,9.2,38.7,3.3,17.2,14.4,,0.07,0.08,44.3,8.57,5.2,169,19.4,34,,25,
蘑菇（干）,甘肃甘南,100,252,13.7,21,4.6,21,31.7,273,0.1,1.1,30.7,6.18,23.3,127,,34,5,25,
蘑菇（鲜，鲜蘑）,,99,20,92.4,2.7,0.1,2.1,2,2,0.08,0.35,4,0.56,8.3,6,1.2,34,2,25,
木耳（黑木耳，云耳）,,100,205,15.5,12.1,1.5,29.9,35.7,17,0.17,0.44,2.5,11.34,48.5,247,97.4,34,,25,
木耳（水发，黑木耳，云耳）,,100,21,91.8,1.5,0.2,2.6,3.4,3,0.01,0.05,0.2,7.51,8.5,34,5.5,34,1,25,
平菇（鲜，糙皮）,,93,20,92.5,1.9,0.3,2.3,2.3,2,0.06,0.16,3.1,0.79,3.8,5,1,34,4,25,
普大香杏丁蘑,河北张家口,100,207,14.1,22.4,0.2,24.9,29,,,3.11,,43.4,43.4,17,113.2,34,,25,
普中红蘑,河北张家口,100,214,12.3,18.4,0.7,24.6,33.5,,,1.16,,,4.3,14,235.1,34,,25,
琼脂（紫菜胶）,福建连江,100,311,21.1,1.1,0.2,0.1,76.2,,,,,,3.3,100,7,34,,25,
双孢蘑菇（洋蘑菇）,福建晋江,97,22,92.4,4.2,0.1,1.5,1.2,,,0.27,3.2,,2,2,0.9,34,,25,
松蘑（松口蘑，松茸）,河北承德,100,112,16.1,20.3,3.2,47.8,0.4,,0.01,1.48,,3.09,4.3,14,86,34,,25,
苔菜（苔条条浒苔）,浙江宁波,100,148,23.7,19,0.4,9.1,17.2,,0.35,0.4,4,,4955.5,185,283.7,34,,25,
香菇（干，香蕈，冬菇）,,95,211,12.3,20,1.2,31.6,30.1,3,0.19,1.26,20.5,0.66,11.2,83,10.5,34,5,25,
香菇（鲜，香蕈，冬菇）,上海,100,19,91.7,2.2,0.3,3.3,1.9,,,0.08,2,,1.4,2,0.3,34,1,25,
香杏片口蘑,河北张家口,100,207,15.1,33.4,1.5,22.6,15,,,1.9,,,21,15,137.5,34,,25,
"羊肚菌（干,狼肚）",甘肃甘南,100,295,14.3,26.9,7.1,12.9,30.8,209,0.1,2.25,8.8,3.58,33.6,87,30.7,34,3,25,
银耳（白木耳）,,96,200,14.6,10,1.4,30.4,36.9,8,0.05,0.25,5.3,1.26,82.1,36,4.1,34,,25,
榛蘑（假蜜环菌）,黑龙江哈尔滨,77,157,51.1,9.5,3.7,10.4,21.5,7,0.01,0.69,7.5,3.34,,11,25.1,34,,25,
珍珠白蘑,河北张家口,100,212,12.1,18.3,0.7,23.3,33,228,0.27,0.02,7.3,1.82,4.4,24,189.8,34,,25,
